Label (Grouping),"Alameda County, California!!Estimate","Alameda County, California!!Percent","Butte County, California!!Estimate","Butte County, California!!Percent","Contra Costa County, California!!Estimate","Contra Costa County, California!!Percent","El Dorado County, California!!Estimate","El Dorado County, California!!Percent","Fresno County, California!!Estimate","Fresno County, California!!Percent","Humboldt County, California!!Estimate","Humboldt County, California!!Percent","Imperial County, California!!Estimate","Imperial County, California!!Percent","Kern County, California!!Estimate","Kern County, California!!Percent","Kings County, California!!Estimate","Kings County, California!!Percent","Lake County, California!!Estimate","Lake County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Madera County, California!!Estimate","Madera County, California!!Percent","Marin County, California!!Estimate","Marin County, California!!Percent","Mendocino County, California!!Estimate","Mendocino County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Monterey County, California!!Estimate","Monterey County, California!!Percent","Napa County, California!!Estimate","Napa County, California!!Percent","Nevada County, California!!Estimate","Nevada County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Placer County, California!!Estimate","Placer County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","Sacramento County, California!!Estimate","Sacramento County, California!!Percent","San Bernardino County, California!!Estimate","San Bernardino County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","San Francisco County, California!!Estimate","San Francisco County, California!!Percent","San Joaquin County, California!!Estimate","San Joaquin County, California!!Percent","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Percent","San Mateo County, California!!Estimate","San Mateo County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Santa Clara County, California!!Estimate","Santa Clara County, California!!Percent","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Solano County, California!!Estimate","Solano County, California!!Percent","Sonoma County, California!!Estimate","Sonoma County, California!!Percent","Stanislaus County, California!!Estimate","Stanislaus County, California!!Percent","Sutter County, California!!Estimate","Sutter County, California!!Percent","Tehama County, California!!Estimate","Tehama County, California!!Percent","Tulare County, California!!Estimate","Tulare County, California!!Percent","Ventura County, California!!Estimate","Ventura County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent","Yuba County, California!!Estimate","Yuba County, California!!Percent"
    Total population,"1,671,329","1,671,329","219,186","219,186","1,153,526","1,153,526","192,843","192,843","999,101","999,101","135,558","135,558","181,215","181,215","900,202","900,202","152,940","152,940","64,386","64,386","10,039,107","10,039,107","157,327","157,327","258,826","258,826","86,749","86,749","277,680","277,680","434,061","434,061","137,744","137,744","99,755","99,755","3,175,692","3,175,692","398,329","398,329","2,470,546","2,470,546","1,552,058","1,552,058","2,180,085","2,180,085","3,338,330","3,338,330","881,549","881,549","762,148","762,148","283,111","283,111","766,573","766,573","446,499","446,499","1,927,852","1,927,852","273,213","273,213","180,080","180,080","447,643","447,643","494,336","494,336","550,660","550,660","96,971","96,971","65,084","65,084","466,195","466,195","846,006","846,006","220,500","220,500","78,668","78,668"
        Male,"823,696",49.30%,"108,389",49.50%,"563,385",48.80%,"95,507",49.50%,"499,209",50.00%,"66,417",49.00%,"92,926",51.30%,"460,491",51.20%,"83,977",54.90%,"31,474",48.90%,"4,949,825",49.30%,"76,562",48.70%,"126,643",48.90%,"42,245",48.70%,"140,344",50.50%,"220,206",50.70%,"68,568",49.80%,"48,342",48.50%,"1,568,073",49.40%,"194,974",48.90%,"1,232,033",49.90%,"758,955",48.90%,"1,086,226",49.80%,"1,680,316",50.30%,"447,416",50.80%,"380,845",50.00%,"141,980",50.10%,"378,576",49.40%,"223,859",50.10%,"976,303",50.60%,"135,458",49.60%,"89,171",49.50%,"222,048",49.60%,"240,513",48.70%,"271,489",49.30%,"48,884",50.40%,"32,691",50.20%,"232,817",49.90%,"417,932",49.40%,"107,020",48.50%,"39,862",50.70%
        Female,"847,633",50.70%,"110,797",50.50%,"590,141",51.20%,"97,336",50.50%,"499,892",50.00%,"69,141",51.00%,"88,289",48.70%,"439,711",48.80%,"68,963",45.10%,"32,912",51.10%,"5,089,282",50.70%,"80,765",51.30%,"132,183",51.10%,"44,504",51.30%,"137,336",49.50%,"213,855",49.30%,"69,176",50.20%,"51,413",51.50%,"1,607,619",50.60%,"203,355",51.10%,"1,238,513",50.10%,"793,103",51.10%,"1,093,859",50.20%,"1,658,014",49.70%,"434,133",49.20%,"381,303",50.00%,"141,131",49.90%,"387,997",50.60%,"222,640",49.90%,"951,549",49.40%,"137,755",50.40%,"90,909",50.50%,"225,595",50.40%,"253,823",51.30%,"279,171",50.70%,"48,087",49.60%,"32,393",49.80%,"233,378",50.10%,"428,074",50.60%,"113,480",51.50%,"38,806",49.30%
        Under 5 years,"94,363",5.60%,"11,981",5.50%,"64,211",5.60%,"9,044",4.70%,"75,131",7.50%,"6,806",5.00%,"14,477",8.00%,"68,101",7.60%,"12,481",8.20%,"3,594",5.60%,"579,247",5.80%,"11,359",7.20%,"11,316",4.40%,"4,883",5.60%,"21,078",7.60%,"30,219",7.00%,"6,537",4.70%,"5,100",5.10%,"185,330",5.80%,"21,029",5.30%,"156,039",6.30%,"97,835",6.30%,"151,731",7.00%,"203,166",6.10%,"39,088",4.40%,"51,928",6.80%,"12,605",4.50%,"41,937",5.50%,"27,438",6.10%,"111,246",5.80%,"13,596",5.00%,"10,374",5.80%,"26,732",6.00%,"23,773",4.80%,"39,398",7.20%,"6,493",6.70%,"3,084",4.70%,"37,421",8.00%,"47,323",5.60%,"11,308",5.10%,"6,448",8.20%
        5 to 9 years,"91,895",5.50%,"12,587",5.70%,"72,989",6.30%,"10,084",5.20%,"78,050",7.80%,"7,388",5.50%,"14,589",8.10%,"71,035",7.90%,"9,273",6.10%,"3,817",5.90%,"566,278",5.60%,"12,895",8.20%,"13,357",5.20%,"4,242",4.90%,"21,182",7.60%,"31,147",7.20%,"6,713",4.90%,"4,361",4.40%,"182,730",5.80%,"23,864",6.00%,"163,315",6.60%,"103,686",6.70%,"155,183",7.10%,"192,269",5.80%,"31,759",3.60%,"52,861",6.90%,"11,121",3.90%,"42,613",5.60%,"25,352",5.70%,"107,848",5.60%,"15,316",5.60%,"11,575",6.40%,"25,777",5.80%,"24,922",5.00%,"39,025",7.10%,"7,432",7.70%,"3,350",5.10%,"39,144",8.40%,"46,665",5.50%,"12,786",5.80%,"7,991",10.20%
        10 to 14 years,"98,489",5.90%,"12,611",5.80%,"75,277",6.50%,"12,192",6.30%,"83,375",8.30%,"7,661",5.70%,"14,101",7.80%,"77,892",8.70%,"13,583",8.90%,"4,114",6.40%,"636,508",6.30%,"11,660",7.40%,"16,508",6.40%,"6,370",7.30%,"24,512",8.80%,"33,257",7.70%,"9,335",6.80%,"4,396",4.40%,"200,323",6.30%,"27,359",6.90%,"187,643",7.60%,"101,534",6.50%,"167,305",7.70%,"204,065",6.10%,"30,575",3.50%,"63,897",8.40%,"16,894",6.00%,"43,712",5.70%,"29,734",6.70%,"125,837",6.50%,"13,635",5.00%,"9,891",5.50%,"29,999",6.70%,"28,962",5.90%,"44,113",8.00%,"6,878",7.10%,"6,143",9.40%,"42,365",9.10%,"61,801",7.30%,"12,483",5.70%,"4,564",5.80%
        15 to 19 years,"94,790",5.70%,"16,231",7.40%,"73,777",6.40%,"10,339",5.40%,"72,993",7.30%,"9,172",6.80%,"13,778",7.60%,"67,958",7.50%,"9,811",6.40%,"4,343",6.70%,"616,886",6.10%,"11,581",7.40%,"16,765",6.50%,"5,230",6.00%,"23,411",8.40%,"31,737",7.30%,"8,909",6.50%,"4,767",4.80%,"202,060",6.40%,"24,813",6.20%,"177,146",7.20%,"95,870",6.20%,"155,930",7.20%,"206,457",6.20%,"30,872",3.50%,"57,590",7.60%,"20,539",7.30%,"41,131",5.40%,"38,523",8.60%,"116,015",6.00%,"23,504",8.60%,"10,370",5.80%,"26,099",5.80%,"29,913",6.10%,"41,035",7.50%,"6,761",7.00%,"4,965",7.60%,"36,970",7.90%,"57,549",6.80%,"21,178",9.60%,"4,467",5.70%
        20 to 24 years,"96,685",5.80%,"21,961",10.00%,"65,085",5.60%,"9,116",4.70%,"68,112",6.80%,"11,433",8.40%,"12,515",6.90%,"63,260",7.00%,"12,709",8.30%,"1,332",2.10%,"678,574",6.80%,"10,440",6.60%,"12,371",4.80%,"4,463",5.10%,"20,037",7.20%,"29,777",6.90%,"8,584",6.20%,"4,123",4.10%,"204,771",6.40%,"19,743",5.00%,"165,486",6.70%,"94,597",6.10%,"159,148",7.30%,"244,901",7.30%,"47,976",5.40%,"51,160",6.70%,"30,769",10.90%,"41,200",5.40%,"47,118",10.60%,"116,225",6.00%,"26,041",9.50%,"10,366",5.80%,"28,329",6.30%,"27,642",5.60%,"37,510",6.80%,"6,416",6.60%,"1,791",2.80%,"32,838",7.00%,"55,414",6.60%,"31,497",14.30%,"4,523",5.70%
        25 to 34 years,"278,792",16.70%,"29,152",13.30%,"146,499",12.70%,"19,605",10.20%,"154,601",15.50%,"18,419",13.60%,"27,562",15.20%,"141,225",15.70%,"26,301",17.20%,"7,711",12.00%,"1,636,784",16.30%,"21,339",13.60%,"21,341",8.20%,"8,430",9.70%,"41,053",14.80%,"61,159",14.10%,"17,125",12.40%,"10,144",10.20%,"457,902",14.40%,"42,356",10.60%,"345,381",14.00%,"244,536",15.80%,"336,303",15.40%,"549,118",16.40%,"204,061",23.10%,"106,728",14.00%,"31,779",11.20%,"114,318",14.90%,"59,846",13.40%,"315,114",16.30%,"33,165",12.10%,"22,996",12.80%,"65,438",14.60%,"61,535",12.40%,"78,774",14.30%,"12,894",13.30%,"8,096",12.40%,"66,710",14.30%,"113,309",13.40%,"29,946",13.60%,"13,130",16.70%
        35 to 44 years,"255,680",15.30%,"24,949",11.40%,"156,803",13.60%,"23,073",12.00%,"129,486",13.00%,"17,407",12.80%,"22,000",12.10%,"115,848",12.90%,"20,966",13.70%,"7,634",11.90%,"1,375,634",13.70%,"20,918",13.30%,"28,975",11.20%,"10,799",12.40%,"36,588",13.20%,"57,771",13.30%,"16,887",12.30%,"11,883",11.90%,"410,729",12.90%,"53,144",13.30%,"320,798",13.00%,"211,156",13.60%,"283,746",13.00%,"452,635",13.60%,"141,927",16.10%,"101,242",13.30%,"32,080",11.30%,"111,071",14.50%,"50,654",11.30%,"278,958",14.50%,"31,799",11.60%,"20,956",11.60%,"57,782",12.90%,"61,553",12.50%,"70,383",12.80%,"11,722",12.10%,"9,099",14.00%,"59,012",12.70%,"104,866",12.40%,"27,437",12.40%,"9,176",11.70%
