,Latitude,Longitude,pm25_daily_average(ug/m3),pm25_daily_average_stderr(ug/m3),month,year,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,percents,counts
0,32.54677,-117.05292,9.395609677419355,4.329770967741935,1.0,2015.0,POINT (-13030271.450265786 3835298.6297835233),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
1,32.54896,-117.09137,9.666635483870968,4.482893548387096,1.0,2015.0,POINT (-13034551.684686787 3835587.8425654857),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
2,32.55551,-117.04743,9.339425806451613,4.2679580645161295,1.0,2015.0,POINT (-13029660.306261335 3836452.8818117417),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
3,32.56007,-116.95471,8.169016129032258,3.804916129032258,1.0,2015.0,POINT (-13019338.763074981 3837055.144884335),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
4,32.56078,-117.05852,9.508777419354839,4.348306451612903,1.0,2015.0,POINT (-13030894.83941423 3837148.9210550156),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
5,32.5633,-117.12117,9.843854838709676,4.534077419354839,1.0,2015.0,POINT (-13037869.00551243 3837481.7664124193),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
6,32.56417,-117.04964,9.402696774193549,4.31471935483871,1.0,2015.0,POINT (-13029906.322335985 3837596.67948056),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
7,32.56419,-117.06628,9.541587096774194,4.348596774193548,1.0,2015.0,POINT (-13031758.678662788 3837599.321173392),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
8,32.56736,-117.09702,9.757367741935484,4.423906451612903,1.0,2015.0,POINT (-13035180.63980977 3838018.0369314733),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
9,32.5689,-117.0804,9.666590322580646,4.363835483870967,1.0,2015.0,POINT (-13033330.509872787 3838221.456236178),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
10,32.57035,-117.08858,9.703164516129032,4.363574193548387,1.0,2015.0,POINT (-13034241.103307476 3838412.990591974),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
11,32.57091,-117.05226,9.427551612903226,4.246261290322581,1.0,2015.0,POINT (-13030197.979401864 3838486.9633099493),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
12,32.57179,-117.07232,9.620203225806451,4.345135483870967,1.0,2015.0,POINT (-13032431.048387177 3838603.2070856337),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
13,32.57278,-117.10577,9.811383870967742,4.406290322580645,1.0,2015.0,POINT (-13036154.685354212 3838733.9826966114),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
14,32.57563,-117.11447,9.84846129032258,4.428948387096774,1.0,2015.0,POINT (-13037123.164924115 3839110.4660003264),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
15,32.57834,-117.06364,9.575503225806452,4.285132258064516,1.0,2015.0,POINT (-13031464.795207093 3839468.4664854975),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
16,32.57883,-117.04406,9.362112903225807,4.194325806451613,1.0,2015.0,POINT (-13029285.159577359 3839533.198355565),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
17,32.57937,-117.10725,9.887141935483871,4.388458064516129,1.0,2015.0,POINT (-13036319.438200584 3839604.535928234),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
18,32.57954,-117.05479,9.468890322580645,4.214535483870968,1.0,2015.0,POINT (-13030479.617713572 3839626.994141882),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
19,32.57968,-116.97851,8.484490322580646,3.8899387096774194,1.0,2015.0,POINT (-13021988.166955862 3839645.4891733285),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
20,32.58374,-117.07871,9.69458064516129,4.314345161290323,1.0,2015.0,POINT (-13033142.379933348 3840181.857648421),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
21,32.58559,-117.12539,10.025235483870969,4.461706451612904,1.0,2015.0,POINT (-13038338.773763577 3840426.2700589355),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
22,32.58603,-117.11299,9.934719354838709,4.3995870967741935,1.0,2015.0,POINT (-13036958.41207774 3840484.401320698),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
23,32.58687,-117.05538,9.486061290322581,4.188396774193548,1.0,2015.0,POINT (-13030545.296213139 3840595.3799764225),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
24,32.58938,-117.09577,9.840835483870968,4.341387096774193,1.0,2015.0,POINT (-13035041.49044628 3840927.0009660968),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
25,32.59174,-117.0494,9.451709677419354,4.17158064516129,1.0,2015.0,POINT (-13029879.605658198 3841238.812439501),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
26,32.59694,-117.08289,9.790348387096774,4.295312903225806,1.0,2015.0,POINT (-13033607.695404861 3841925.883649106),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
27,32.59826,-117.06371,9.644548387096775,4.2412838709677425,1.0,2015.0,POINT (-13031472.587571448 3842100.3003784935),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
28,32.59882,-117.05023,9.461693548387096,4.120338709677419,1.0,2015.0,POINT (-13029972.000835553 3842174.2961309054),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
29,32.59931,-117.07225,9.687722580645161,4.22936129032258,1.0,2015.0,POINT (-13032423.256022822 3842239.042793662),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
30,32.601,-117.03267,9.272987096774195,4.104454838709677,1.0,2015.0,POINT (-13028017.230577223 3842462.3554290133),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
31,32.60369,-117.04012,9.346332258064518,4.083012903225806,1.0,2015.0,POINT (-13028846.560783636 3842817.8144077663),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
32,32.60478,-116.99286,8.668125806451613,3.8456709677419356,1.0,2015.0,POINT (-13023585.601648742 3842961.8510105605),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
33,32.60677,-117.06422,9.653599999999999,4.193661290322581,1.0,2015.0,POINT (-13031529.360511754 3843224.821439523),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
34,32.60779,-117.0503,9.455141935483871,4.055364516129033,1.0,2015.0,POINT (-13029979.793199908 3843359.6125674495),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
35,32.60904,-117.13145,10.183735483870969,4.430387096774194,1.0,2015.0,POINT (-13039013.369877784 3843524.7998665697),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
36,32.60973,-117.08806,9.86852258064516,4.226393548387097,1.0,2015.0,POINT (-13034183.217172263 3843615.9842432668),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
37,32.61312,-117.07794,9.805748387096775,4.197425806451613,1.0,2015.0,POINT (-13033056.663925434 3844063.9872556985),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
38,32.61552,-117.04866,9.487854838709676,4.073409677419355,1.0,2015.0,POINT (-13029797.229235006 3844381.1677840804),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
39,32.61666,-117.06573,9.685893548387096,4.138277419354838,1.0,2015.0,POINT (-13031697.45294285 3844531.8315133415),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
40,32.61831,-117.03375,9.296312903225806,4.02506129032258,1.0,2015.0,POINT (-13028137.45562728 3844749.900834952),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
41,32.61868,-116.9473,8.031822580645162,3.6449193548387098,1.0,2015.0,POINT (-13018513.8856482 3844798.8017799407),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
42,32.62386,-117.05104,9.532032258064516,4.031874193548387,1.0,2015.0,POINT (-13030062.169623097 3845483.4362320546),06,073,00277301,06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10895149811,826195031,+33.0236041,-116.7761174,0.07853206412825652,627
